Word,RecordCount,TotalOccurrences,FirstLetter
"GETI",2,6,"G"
"GASNER",2,6,"G"
"GILLARD",2,6,"G"
"FILLION",2,6,"F"
"FISCHBURG",2,6,"F"
"EMANUEL",2,6,"E"
"BOSTON",2,6,"B"
"DEVANNEY",2,6,"D"
"DOYON",2,6,"D"
"CITRONE",2,6,"C"
"CASHMAN",2,6,"C"
"COLLINS",2,6,"C"
"CHASSE",2,6,"C"
"COREY",2,6,"C"
"CUDD",2,6,"C"
"CARBONE",2,6,"C"
"CLAYTON",2,6,"C"
"CERULLI",2,6,"C"
"CLOSSET",2,6,"C"
"CALGER",2,6,"C"
"BIRD",2,6,"B"
"BULL",2,6,"B"
"BREAULT",2,6,"B"
"BRAND",2,6,"B"
"BEEBE",2,6,"B"
"BRESOLIN",2,6,"B"
"ASHER",2,6,"A"
"ALPERT",2,6,"A"
"WOHLBERG",2,6,"W"
"WILEY",2,6,"W"
"WEISBROAT",2,6,"W"
"WAXMAN",2,6,"W"
"WALKEN",2,6,"W"
"SAXON",2,6,"S"
"TABER",2,6,"T"
"SINCLAIRE",2,6,"S"
"SARGENT",2,6,"S"
"ROBSON",2,6,"R"
"ROBINSON",2,6,"R"
"PETRELLA",2,6,"P"
"PAPPAS",2,6,"P"
"MORRISON",2,6,"M"
"MISSBRENNER",2,6,"M"
"MILLIKIN",2,6,"M"
"MILLEA",2,6,"M"
"MCMAHON",2,6,"M"
"MANSFIELD",2,6,"M"
"MAGENNIS",2,6,"M"
"LYNCH",2,6,"L"
"LOVERIDGE",2,6,"L"
"LILLIE",2,6,"L"
"LIBOW",2,6,"L"
"LENOCI",2,6,"L"
"LANE",2,6,"L"
"LAMOTTE",2,6,"L"
"LAAMAN",2,6,"L"
"KNOTT",2,6,"K"
"KLEIBER",2,6,"K"
"KIRSHNER",2,6,"K"
"KIKUCHI",2,6,"K"
"KEEFE",2,6,"K"
"INGRAHAM",2,6,"I"
"HOYT",2,6,"H"
"HOLLAWAY",2,6,"H"
"HENNCH",2,6,"H"
"HEALY",2,6,"H"
"HAYDE",2,6,"H"
"GUTH",2,6,"G"
"GILL",2,6,"G"
"FULLER",2,6,"F"
"ENGLE",2,6,"E"
"DOBERSTEIN",2,6,"D"
"VANKO",2,6,"V"
"SCHULMAN",2,6,"S"
"MONIESON",2,6,"M"
"FORMICA",2,6,"F"
"LIVESEY",2,6,"L"
"THRELKELD",2,6,"T"
"GELSOMINI",2,6,"G"
"BLOOM",2,6,"B"
"GUSTAFSON",2,6,"G"
"MEAD",2,6,"M"
"HELMBOLDT",2,6,"H"
"GIANNASCA",2,6,"G"
"PICCOLINO",2,6,"P"
"LYONS",2,6,"L"
"HARTIGAN",2,6,"H"
"SUEHNHOLZ",2,6,"S"
"SPAK",2,6,"S"
"KONDRACKI",2,6,"K"
"TOOLE",2,6,"T"
"TORREY",2,6,"T"
"ROSMAN",2,6,"R"
"LEHMAN",2,6,"L"
"RICHTER",2,6,"R"
"KORFIN",2,6,"K"
"GOURDON",2,6,"G"
"DEMAGGIO",2,6,"D"
"ELWELL",2,6,"E"
"KANE",2,6,"K"
"SWEET",2,6,"S"
"WEINBERG",2,6,"W"
"COUGHLAN",2,6,"C"
"FORSSELL",2,6,"F"
"GLEIXNER",2,6,"G"
"MCCORMICK",2,6,"M"
"BUDA",2,6,"B"
"PARSONS",2,6,"P"
"ROESSLER",2,6,"R"
"BAILEY",2,6,"B"
"CUSHMAN",2,6,"C"
"ENGEL",2,6,"E"
"FAGAN",2,6,"F"
"FARRAR",2,6,"F"
"FEEKS",2,6,"F"
"FINN",2,6,"F"
"GOODMAN",2,6,"G"
"GOSS",2,6,"G"
"GUERRY",2,6,"G"
"HILGER",2,6,"H"
"IVES",2,6,"I"
"KANDEL",2,6,"K"
"LAMB",2,6,"L"
"LIVINGSTON",2,6,"L"
"NAJMY",2,6,"N"
"PARISH",2,6,"P"
"PAUGH",2,6,"P"
"REZNICK",2,6,"R"
"SACHS",2,6,"S"
"SAYLOR",2,6,"S"
"SCRANTON",2,6,"S"
"TEED",2,6,"T"
"TOPF",2,6,"T"
"WOHL",2,6,"W"
"SERIO",2,6,"S"
"NEWHOUSE",2,5,"N"
"CARAPEZZI",2,5,"C"
"COMBIAS",2,5,"C"
"VINCENT",2,5,"V"
"FILIPPI",2,5,"F"
"KIELTYKA",2,5,"K"
"AGRICOLA",2,5,"A"
"BAUTE",2,5,"B"
"BECK",2,5,"B"
"RITA",2,5,"R"
"ENGLISH",2,5,"E"
"LAURIE",2,5,"L"
"HEAGNEY",2,5,"H"
"DEBBIE",2,5,"D"
"GEOFFREY",2,5,"G"
"SHOREY",2,5,"S"
"DE",2,5,"D"
"DAWN",2,5,"D"
"ATWATER",2,5,"A"
"CASSIDY",2,5,"C"
"COTTER",2,5,"C"
"LICHTER",2,5,"L"
"MCGINNES",2,5,"M"
"WILBUR",2,5,"W"
"WIEDENMEYER",2,4,"W"
"DWIGHT",2,4,"D"
"MEYERS",2,4,"M"
"PAQUIN",2,4,"P"
"CELINE",2,4,"C"
"CHIMNEY",2,4,"C"
"ELAINE",2,4,"E"
"GOULD",2,4,"G"
"CONTE",2,4,"C"
"KRISTINA",2,4,"K"
"LINDBERGH",2,4,"L"
"LEVY",2,4,"L"
"GREGG",2,4,"G"
"TURNER",2,4,"T"
"VALLANDINGHAM",2,4,"V"
"CINDI",2,4,"C"
"GAY",2,4,"G"
"LYNWOOD",2,4,"L"
"DALEY",2,4,"D"
"JEANINE",2,4,"J"
"MAGGIE",2,4,"M"
"NEVINS",2,4,"N"
